Grade,Marks
1,63
1,60
1,59
1,52
1,57
1,51
1,48
1,48
1,67
1,48
1,66
1,47
1,65
1,65
1,47
1,64
1,62
1,61
1,59
1,55
1,55
1,54
1,45
1,59
1,59
1,53
1,59
1,57
1,56
1,52
1,54
1,51
1,50
1,49
1,49
1,48
1,47
1,47
1,52
1,47
1,46
1,46
1,45
1,50
1,44
1,50
1,45
1,44
1,44
1,43
1,43
1,50
1,42
1,50
1,42
1,41
1,41
1,41
1,39
1,39
1,38
1,37
1,50
1,48
1,48
1,48
1,37
1,42
1,47
1,36
1,42
1,42
1,42
1,42
1,47
1,47
1,42
1,44
1,36
1,41
1,41
1,41
1,44
1,40
1,40
1,44
1,40
1,44
1,36
1,40
1,44
1,43
1,39
1,39
1,36
1,43
1,43
1,43
1,36
1,42
1,42
1,42
1,42
1,42
1,39
1,41
1,36
1,36
1,39
1,40
1,39
1,35
1,35
1,35
1,39
1,38
1,35
1,34
1,34
1,38
1,33
1,33
1,38
1,37
1,33
1,37
1,39
1,32
1,39
1,32
1,37
1,39
1,37
1,38
1,38
1,31
1,29
1,29
1,29
1,36
1,36
1,35
1,34
1,38
1,29
1,38
1,37
1,37
1,29
1,28
1,37
1,28
1,28
1,37
1,34
1,37
1,34
1,37
1,28
1,37
1,34
1,37
1,34
1,34
1,34
1,33
1,36
1,33
1,28
1,33
1,33
1,36
1,28
1,27
1,32
1,27
1,35
1,35
1,27
1,35
1,32
1,32
1,31
1,31
1,27
1,35
1,35
1,27
1,31
1,26
1,31
1,26
1,34
1,26
1,31
1,34
1,34
1,33
1,26
1,31
1,31
1,31
1,31
1,31
1,30
1,31
1,31
1,30
1,30
1,30
1,29
1,29
1,26
1,29
1,26
1,29
1,29
1,25
1,28
1,25
1,29
1,29
1,28
1,28
1,25
1,27
1,25
1,25
1,28
1,27
1,26
1,26
1,27
1,27
1,24
1,24
1,26
1,24
1,26
1,24
1,25
1,23
1,25
1,24
1,23
1,23
1,25
1,24
1,24
1,23
1,22
1,24
1,24
1,21
1,24
1,23
1,24
1,24
1,24
1,22
1,23
1,22
1,22
1,21
1,22
1,21
1,20
1,22
1,21
1,20
1,20
1,21
1,21
1,19
1,21
1,18
1,18
1,17
1,21
1,20
1,20
1,17
1,17
1,20
1,19
1,16
1,16
1,19
1,14
1,19
1,19
1,14
1,18
1,18
1,14
1,18
1,18
1,18
1,17
1,17
1,13
1,17
1,15
1,15
1,14
1,16
1,13
1,12
1,16
1,10
1,15
1,15
1,12
2,48
2,66
2,65
2,69
2,54
2,53
2,45
2,66
2,64
2,44
2,42
2,43
2,42
2,64
2,42
2,42
2,42
2,40
2,40
2,40
2,60
2,38
2,40
2,37
2,57
2,39
2,36
2,35
2,32
2,55
2,55
2,36
2,52
2,49
2,30
2,36
2,48
2,47
2,42
2,34
2,34
2,34
2,29
2,40
2,34
2,28
2,39
2,39
2,38
2,33
2,33
2,38
2,37
2,36
2,35
2,32
2,35
2,28
2,35
2,32
2,35
2,34
2,34
2,32
2,32
2,34
2,27
2,32
2,27
2,26
2,25
2,34
2,25
2,25
2,32
2,34
2,32
2,31
2,30
2,30
2,30
2,33
2,30
2,28
2,33
2,32
2,26
2,32
2,32
2,25
2,26
2,24
3,24
2,32
2,22
2,26
2,31
2,25
2,25
2,25
2,31
2,25
2,22
2,25
2,31
2,21
2,25
2,29
2,21
2,24
2,20
2,20
2,24
2,24
2,24
2,29
2,28
2,24
2,23
2,27
2,22
2,22
2,22
2,26
2,22
2,22
2,22
2,26
2,21
2,21
2,20
2,19
2,19
2,26
2,19
2,20
2,24
2,18
2,17
2,23
2,23
2,16
2,16
2,21
2,20
2,16
2,19
2,21
2,19
2,15
2,20
2,18
2,14
2,14
2,18
2,17
2,14
2,19
2,17
2,17
2,19
2,19
2,14
2,18
2,13
2,13
2,18
2,12
2,17
2,16
2,17
2,17
2,17
2,16
2,12
2,15
2,12
2,16
2,11
2,15
2,14
2,14
2,13
2,11
2,11
2,11
2,10
2,13
2,10
2,13
2,14
2,14
2,12
2,12
2,12
2,12
2,12
2,11
2,11
2,11
2,10
2,10
2,11
3,62
3,54
3,48
3,46
3,69
3,61
3,53
3,48
3,57
3,45
3,44
3,42
3,41
3,39
3,32
3,36
3,36
3,34
3,30
3,39
3,39
3,34
3,34
3,29
3,32
3,29
3,32
3,32
3,30
3,32
3,30
3,29
3,31
3,29
3,29
3,28
3,27
3,27
3,31
3,26
3,27
3,30
3,26
3,27
3,27
3,26
3,26
3,26
3,25
3,28
3,27
3,27
3,26
3,26
3,25
3,26
3,24
3,26
3,26
3,24
3,26
3,26
3,23
3,25
3,24
3,23
3,24
3,23
3,23
3,21
3,23
3,22
3,23
3,23
3,22
3,22
3,22
3,20
3,22
3,20
3,22
3,19
3,19
3,22
3,19
3,18
3,16
3,15
3,20
3,20
3,19
3,21
3,19
3,21
3,19
3,19
3,20
3,15
3,13
3,18
3,16
3,11
3,10
3,15
3,14
3,13
3,13
3,13
3,13
4,37
4,48
4,35
4,30
4,30
4,39
4,34
4,30
4,34
4,32
4,29
4,28
4,28
4,28
4,27
4,26
4,28
4,28
4,27
4,23
4,22
4,27
4,21
4,25
4,24
4,21
4,24
4,24
4,20
4,19
4,18
4,23
4,23
4,15
4,14
4,22
4,24
4,24
4,23
4,22
4,20
4,21
4,17
4,21
4,20
4,14
4,18
4,17
4,17
4,13
4,11
4,11
4,10
4,10
4,13
4,15
4,13
4,13
4,13
4,12
4,12
5,61
5,63
5,60
5,45
5,44
5,38
5,52
5,51
5,36
5,50
5,50
5,46
5,42
5,34
5,41
5,40
5,33
5,38
5,28
5,37
5,26
5,25
5,36
5,25
5,23
5,23
5,28
5,23
5,34
5,19
5,17
5,17
5,23
5,18
5,27
5,26
5,26
5,18
5,23
5,17
5,17
5,23
5,22
5,12
5,12
5,20
5,17
5,17
5,13
5,19
5,19
5,16
5,15
6,45
6,43
6,42
6,38
6,35
6,40
6,39
6,36
6,27
6,33
6,29
6,24
6,21
6,21
6,20
6,19
6,19
6,25
6,19
6,16
6,25
6,15
6,15
6,16
6,21
6,13
6,13
6,19
6,12
6,13
6,11
7,29
7,33
7,32
7,28
7,27
7,32
7,30
7,26
7,26
7,23
7,22
7,22
7,25
7,21
7,26
7,23
7,18
7,18
7,21
7,25
7,21
7,25
7,16
7,23
7,16
7,23
7,22
7,20
7,15
7,19
7,20
7,16
7,16
7,15
7,18
7,18
7,15
7,16
7,11
7,13
7,14
7,12
7,13
7,10
7,12
7,12
8,61
8,60
8,58
8,58
8,57
8,56
8,53
8,52
8,56
8,52
8,54
8,52
8,52
8,52
8,49
8,50
8,51
8,49
8,47
8,47
8,46
8,45
8,45
8,44
8,48
8,44
8,44
8,42
8,42
8,48
8,41
8,47
8,47
8,39
8,44
8,41
8,43
8,40
8,40
8,40
8,38
8,37
8,39
8,34
8,39
8,34
8,36
8,36
8,36
8,36
8,34
8,38
8,33
8,33
8,33
8,32
8,38
8,33
8,33
8,32
8,31
8,32
8,31
8,30
8,35
8,31
8,33
8,30
8,33
8,29
8,31
8,26
8,26
8,29
8,28
8,26
8,28
8,25
8,27
8,25
8,26
8,24
8,24
8,23
8,25
8,23
8,20
8,22
8,21
8,20
8,15
8,19
8,18
8,14
8,25
8,14
8,24
8,10
8,24
8,22
8,19
8,19
8,17
8,18
8,18
8,16
8,16
8,16
8,15
8,16
8,12
8,10
8,15
8,12
8,11
8,12
8,12
8,10
